ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt0493437,Apna Sapna Money Money,2006.0,134.0,5.3,1892.0,"Comedy, Musical, Romance            ",hindi
tt0273405,Aag Aur Sholay,1987.0,,2.2,20.0,,urdu
tt0049595,Parivar,1956.0,,7.4,21.0,"Comedy, Drama, Family            ",hindi
tt6597160,Jacqueline I Am Coming,2019.0,112.0,7.9,16.0,Drama            ,hindi
tt0829459,A Mighty Heart,2007.0,108.0,6.6,26885.0,"Biography, Drama, History            ",urdu
tt0364628,Raktalekha,1992.0,175.0,6.3,12.0,Drama            ,bengali
tt0364733,Veedevadandi Babu,1997.0,138.0,5.6,218.0,Comedy            ,telugu
tt5684550,Da Tang Xuan Zang,2016.0,90.0,6.2,379.0,"Biography, History            ",sanskrit
tt0318983,Amman Koil Kizhakkaalae,1986.0,141.0,6.9,63.0,Drama            ,tamil
tt3148392,Shatru,2013.0,,4.5,11.0,"Action, Thriller            ",kannada
tt2302945,Tukaram,2012.0,156.0,7.3,231.0,"Biography, Drama, History            ",marathi
tt6517874,Ramante Edenthottam,2017.0,122.0,6.0,459.0,"Comedy, Drama, Romance            ",malayalam
tt1319563,Dracula,1999.0,92.0,4.1,16.0,Horror            ,hindi
tt0065764,Geet,1970.0,,7.1,98.0,"Action, Crime, Musical            ",hindi
tt1575647,Nuvvu Vasthavani,2000.0,158.0,6.6,160.0,"Family, Romance            ",telugu
tt0357879,Madadgaar,1987.0,,5.4,11.0,"Action, Crime, Drama            ",hindi
tt0351354,Milan Ki Raat,1967.0,,4.4,7.0,"Drama, Romance            ",hindi
tt0213519,Bhool Bhulaiyan,1933.0,,6.0,6.0,Comedy            ,hindi
tt0246905,Saajan Chale Sasural,1996.0,134.0,6.0,1312.0,"Comedy, Drama            ",hindi
tt1582519,Khaleja,2010.0,170.0,7.6,8284.0,"Action, Comedy, Fantasy            ",telugu
tt6682124,Rogue,,134.0,5.1,118.0,"Action, Thriller            ",kannada
tt0464849,Yuvakudu,2000.0,145.0,6.9,110.0,Romance            ,telugu
tt10515954,Olessia,2019.0,120.0,8.1,40.0,"Drama, Musical            ",malayalam
tt5159256,Prohibited,2015.0,12.0,8.2,25.0,"Short, Drama, Thriller            ",urdu
tt1039989,Sunday,,135.0,5.3,2592.0,"Action, Comedy, Mystery            ",hindi
tt8622232,Time to Dance,2021.0,113.0,1.3,406.0,"Musical, Romance            ",hindi
tt0109922,Gopi Kishan,1994.0,161.0,5.5,805.0,"Action, Comedy, Drama            ",hindi
tt0187351,Nigahen: Nagina Part II,1989.0,140.0,5.2,286.0,"Drama, Family, Fantasy            ",hindi
tt5026204,Dobara Phir Se,2016.0,127.0,6.6,427.0,Drama            ,urdu
tt2373666,Pagaivan,1997.0,142.0,5.2,82.0,"Action, Comedy            ",tamil
tt1245732,Red Alert: The War Within,2009.0,120.0,6.4,337.0,"Action, Drama, Thriller            ",hindi
tt0442625,Waqt Ka Shahenshah,1987.0,,4.9,11.0,Action            ,hindi
tt3666258,Coffee Bloom,2015.0,90.0,5.9,101.0,Drama            ,hindi
tt0266712,Laila Majnu,,140.0,7.2,259.0,"Drama, Musical, Romance            ",oriya
tt3209556,Vidiyum Munn,2013.0,129.0,7.4,434.0,Thriller            ,tamil
tt6120732,Olappeeppi,2016.0,121.0,7.6,120.0,Drama            ,malayalam
tt8243058,Timi Sanga,2018.0,,6.1,11.0,Romance            ,nepali
tt0267796,Oho Naa Pellanta,1996.0,,6.2,19.0,Comedy            ,telugu
tt0246433,Apnapan,1977.0,133.0,6.5,73.0,"Drama, Romance            ",hindi
tt2980794,Highway,,133.0,7.6,26801.0,"Crime, Drama, Romance            ",hindi
tt1524568,Pratipaksha,1988.0,108.0,6.9,8.0,"Action, Drama            ",bengali
tt2942618,Dehorokkhi: The Bodyguard,2013.0,167.0,6.8,402.0,Action            ,bengali
tt2777694,Beru,2005.0,104.0,8.3,19.0,Drama            ,kannada
tt5278634,White,,149.0,3.0,471.0,Romance            ,malayalam
tt0283028,Sayahnam,2000.0,,7.0,10.0,,malayalam
tt14045622,Preetam,2021.0,,9.0,15.0,Romance            ,marathi
tt3952870,Britto,2014.0,124.0,7.5,12.0,Drama            ,bengali
tt0250747,Stalin Sivadas,1999.0,118.0,2.7,47.0,"Action, Thriller            ",malayalam
tt0262446,Gopichand Jasoos,1982.0,150.0,5.9,123.0,"Comedy, Thriller            ",hindi
tt0995840,Joy: The Real Love Story,2007.0,127.0,2.1,1601.0,"Drama, Romance, Thriller            ",hindi
tt0104098,Dharavi,1992.0,120.0,7.1,282.0,"Crime, Drama            ",hindi
tt5771640,Noces,2016.0,98.0,7.1,1360.0,Drama            ,oriya
tt0246877,Puthayal,1997.0,144.0,5.9,51.0,,tamil
